Spomenik City,Country,Year Built,Surroundings,Condition,Size,Designer,Map #
Vukovar,Serbia,1980,Town,Fair,Medium,Bogdan Bogdanović,8
Zagreb,Croatia,1960,Park/City,Good,Small,Dušan Džamonja,92
Zaječar,Serbia,1971,Park/Forested,Poor,Medium,Vladimira Velikovića,89
Zaostrog,Croatia,(unknown),Town,Good,Small,(unknown),57
Zenica,Bosnia,1968,Mountains,Fair,Medium,(unknown),17
Zlatibor,Serbia,1967,Mountains,Good,Medium,Jovanka Jeftanović,48
Žužemberk,Slovenia,1961,Park/Town,Excellent,Medium,Marjan Tepina,95
Korenica,Croatia,1981,Open fields,Destroyed,Large,V. Ugrenović & B. Radimir,43
Kamenska,Croatia,1968,Open fields,Destroyed,Very Large,Vojin Bakić,42
Makarska,Croatia,1974,Park/City,Excellent,Large,Matija Salaj,45
